dy;wbc;miny;minx;im;maxx;maxy;r;dx;;;;
348;wrong;88;43;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;180;436;19.0;137;;;;
85;ly;419;701;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;779;504;19.0;78;;;ly;1407
131;ne;564;610;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;732;695;19.0;122;;;rly;687
127;bne;244;14;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\1.bmp;140;371;19.0;126;;;*ly;2126
94;rly;436;307;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;391;530;19.0;84;;;ne;2090
128;bne;453;434;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;547;581;19.0;113;;;bne;272
101;rly;196;1021;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1122;297;19.0;101;;;eo;234
122;eo;426;1069;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1210;548;19.0;141;;;mo;1506
138;bne;869;825;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;950;1007;19.0;125;;;ba;12
119;bne;865;1172;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\10.bmp;1279;984;19.0;107;;;wrong;47
117;mo;435;718;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\11.bmp;845;552;19.0;127;;;;
123;ne;143;87;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;222;266;19.0;135;;;;
148;bne;746;214;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;343;894;19.0;129;;;;
123;ly;695;712;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;818;818;19.0;106;;;;
4;ne;305;49;d:\DATA\DiagonAdatbazis_20170221-5\11_gepi_5_8_13\12.bmp;81;309;19.0;32;;;;
